cus_id,tong_don,tong_tien,tongdon_cod,thuho_tongdon,don_ptc,don_ptc_cod,thu_ho
15908970,9940,126433500.0,7501,1494588001.0,6962.0,6155.0,1177977101.0
15908984,4148,274175329.0,3304,1762087019.0,3464.0,2799.0,1475912019.0
15909022,4587,71021606.0,4330,538870002.0,4106.0,4084.0,509985002.0
15909122,1258,26317388.0,1154,423695000.0,723.0,675.0,248160000.0
15909321,2832,55072691.0,2737,1171920500.0,2583.0,2525.0,1077467500.0
15909350,8663,144823659.0,7106,1521163591.0,7366.0,6550.0,1378369192.0
15909606,1349,20259565.0,1052,117686000.0,785.0,785.0,85873000.0
15909816,2630,146659688.0,0,0.0,2309.0,0.0,0.0
15909838,2497,124010695.0,2305,5039050000.0,2269.0,2212.0,4854584000.0
15909863,1304,20454508.0,828,246005001.0,1035.0,699.0,198480001.0
15909895,6174,104580978.0,5827,802099001.0,5602.0,5449.0,753604001.0
15910099,4521,70300002.0,3873,1113466004.0,3714.0,3629.0,1037326116.0
15910112,1712,53341733.0,1577,1253818000.0,1390.0,1341.0,1059302000.0
15910199,3601,126016170.0,193,234443058.0,3416.0,182.0,220328058.0
15910220,5030,68999018.0,3908,1472168062.0,4137.0,3538.0,1297332259.0
15910222,1055,24365938.0,879,185176000.0,713.0,683.0,143230000.0
15910302,1319,16472990.0,1224,124831000.0,1493.0,1486.0,151583001.0
15910394,4968,37257750.0,0,0.0,4384.0,0.0,0.0
15910494,2537,51685048.0,362,371245000.0,2225.0,326.0,335134000.0
15910604,2703,92543448.0,2594,912704030.0,2223.0,2193.0,765458030.0
15910635,2393,105463395.0,1918,430389000.0,2725.0,2246.0,500184002.0
15910666,6873,160314892.0,5767,1047750007.0,6770.0,5793.0,1046362013.0
15910681,3160,743507928.0,387,2534896000.0,2955.0,331.0,1977251000.0
15910952,1635,43158106.0,0,0.0,1424.0,0.0,0.0
15910999,2088,52840754.0,1443,871714000.0,1693.0,1190.0,717563000.0
15911141,1159,50192994.0,0,0.0,761.0,0.0,0.0
15911147,1072,72061528.0,4,2061500.0,867.0,2.0,1061500.0
15911186,7038,118948485.0,5964,2299951272.0,5394.0,4984.0,1916980673.0
15911220,3975,464974766.0,3320,5758389250.0,3259.0,2882.0,5032585650.0
15911260,1458,20785727.0,0,0.0,1451.0,0.0,0.0
15911264,17022,305321772.0,15703,3071796099.0,14455.0,14215.0,2731252099.0
15911301,5155,1862968555.0,688,1815059743.0,4509.0,597.0,1590983594.0
15911310,31,115932079.0,0,0.0,1.0,0.0,0.0
15911327,2788,53403395.0,2338,1235357103.0,2094.0,2058.0,1079783103.0
15911406,8031,161916883.0,7456,2311372596.0,7197.0,7075.0,2173064596.0
15911443,2231,41343838.0,1982,571618108.0,1934.0,1770.0,513255028.0
15911464,3235,45421615.0,2632,437021105.0,2078.0,2061.0,344094105.0
15911488,3302,71332092.0,2924,608424001.0,2816.0,2629.0,551811001.0
15911663,848,215866697.0,0,0.0,597.0,0.0,0.0
15912144,3546,93649912.0,3345,938909000.0,2656.0,2581.0,725974000.0
15912361,1669,104870049.0,1462,3085222008.0,1456.0,1319.0,2796314008.0
15912600,383,110884728.0,3,6449000.0,268.0,0.0,0.0
15912620,2487,194291895.0,0,0.0,2005.0,0.0,0.0
15912640,1928,43566252.0,1736,507869000.0,1606.0,1472.0,429794000.0
15912650,4615,139031478.0,155,33516469.0,3748.0,140.0,21808469.0
15912755,1885,40481491.0,1668,557066200.0,1757.0,1620.0,531932800.0
15912939,995,61559448.0,138,308811000.0,806.0,110.0,261819000.0
15913029,2243,39865591.0,2078,791976000.0,1782.0,1721.0,664076000.0
15913120,412,198678845.0,322,1754108000.0,227.0,177.0,985238000.0
15913171,931,15323216.0,367,141366358.0,813.0,344.0,127805858.0
15913263,980,14833261.0,0,0.0,743.0,0.0,0.0
15913436,2838,48320535.0,2810,89970000.0,2180.0,2175.0,69410000.0
15913590,1264,19640313.0,1155,216798744.0,1009.0,956.0,181643744.0
15913633,3819,74165609.0,3202,507117000.0,3382.0,2921.0,455552000.0
15913638,3952,45650985.0,3110,387676431.0,3511.0,2984.0,369954645.0
15913681,7201,115022187.0,6661,1648004001.0,7057.0,6640.0,1643880001.0
15913722,7640,162992714.0,5012,2088905500.0,6448.0,4287.0,1816724000.0
15913793,4018,104378937.0,3661,838332000.0,4088.0,4034.0,925538000.0
15913818,6354,109911710.0,5823,1090742107.0,5175.0,5091.0,953098107.0
15913955,1225,33895601.0,1169,219946000.0,1075.0,1067.0,201117000.0
15914006,1941,37849191.0,682,514071521.0,934.0,314.0,224994521.0
15914008,6973,215916986.0,6333,4251173001.0,6012.0,5748.0,3854493002.0
15914061,2915,193049734.0,2524,2590139500.0,2362.0,2074.0,2206504500.0
15914367,4441,131287584.0,3815,2426424800.0,3737.0,3401.0,2106967800.0
15914373,3343,65865951.0,3117,1244377100.0,1914.0,1805.0,748279000.0
15914386,1435,49578081.0,1294,347887000.0,1141.0,1064.0,282327000.0
15914415,1834,55226321.0,1214,2099945000.0,1427.0,958.0,1640170000.0
15914514,5177,131895213.0,3644,1651188254.0,4534.0,3287.0,1500276382.0
15914563,1731,27136803.0,56,9212000.0,1410.0,50.0,8593000.0
15914565,4817,297720215.0,4323,3061680945.0,3890.0,3719.0,2675784096.0
15914664,8565,131695736.0,6188,2088460118.0,5164.0,4535.0,1372750120.0
15914699,998,17009664.0,0,0.0,503.0,0.0,0.0
15914911,2043,100023648.0,1775,1752627888.0,1836.0,1611.0,1586037888.0
15915049,1570,93532211.0,1324,243212000.0,1507.0,1270.0,227915000.0
15915139,1399,85099891.0,926,425533355.0,514.0,350.0,163116555.0
15915319,1010,19059267.0,868,258876000.0,673.0,581.0,179368000.0
15915330,1501,26006706.0,1154,649997502.0,904.0,877.0,488115502.0
15915384,1355,25913375.0,975,209352900.0,1116.0,841.0,177401900.0
15915569,9985,546951018.0,8398,11140980233.0,8722.0,7436.0,9933125188.0
15915579,2513,34495000.0,2169,225109100.0,1663.0,1657.0,171094101.0
15915703,193,112067301.0,149,813530000.0,80.0,66.0,271880000.0
15915752,6835,317765426.0,6076,2434021104.0,4990.0,4912.0,1968157205.0
15915846,215,421248936.0,0,0.0,116.0,0.0,0.0
15915978,7741,222167925.0,4128,9920439001.0,6742.0,3657.0,8684607870.0
15916156,1176,22117984.0,946,280780000.0,881.0,721.0,214700000.0
15916227,3936,114513466.0,3290,2264907107.0,2888.0,2720.0,1861257108.0
15916419,7983,123239913.0,7111,1451348608.0,5977.0,5876.0,1191479608.0
15916421,2320,104856736.0,2187,1286500000.0,1907.0,1896.0,1102156000.0
15916479,2742,55146587.0,2014,536564000.0,2153.0,1620.0,426672000.0
15916519,1983,70955412.0,0,0.0,1642.0,0.0,0.0
15916522,1120,26958085.0,1024,341387000.0,897.0,893.0,285497000.0
15916640,3121,55405303.0,2213,482469008.0,2910.0,2073.0,445987008.0
15916706,5683,112487754.0,4605,2877165002.0,4648.0,4038.0,2475975002.0
15916870,4550,66995056.0,3840,646733100.0,3245.0,3232.0,546493100.0
